交易日期,種類代碼,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
111.12.06,,FE606,,800,高雄市,58,58,58,58,24
111.12.06,N04,FF2,絲瓜-角瓜,800,高雄市,50,50,50,50,100
111.12.06,N06,FG412,劍蘭-粉巨人,800,高雄市場,33,26,15,25,116
111.12.06,N06,FH006,黃梔花-黃梔花,800,高雄市場,38,20,15,22,656
111.12.06,N06,FH156,野薑花-白,800,高雄市場,80,74,54,70,47
111.12.06,N06,FH232,夜來香-重瓣,800,高雄市場,35,35,35,35,24
111.12.06,N05,72,小番茄-聖女,830,鳳山區,61.5,37.3,27.1,37.3,2040
111.12.06,N05,E1,甜橙-柳橙,830,鳳山區,26.1,13.5,9,13.5,14480
111.12.06,N04,FB2,花椰菜-白梗,830,鳳山區,42.1,38.6,33.4,38.3,910
111.12.06,N04,FC1,胡瓜-黑刺,830,鳳山區,34.4,21,14.3,22.3,1280
111.12.06,N04,FH1,扁蒲-長形,830,鳳山區,20,14.8,11.1,15.1,900
111.12.06,N04,FA1,黃秋葵,900,屏東市,18,17.2,15.2,16.9,1560
111.12.06,N04,FF1,絲瓜-絲瓜,900,屏東市,35,23.1,20,23.1,3627
111.12.06,N04,FG2,苦瓜-青大米,900,屏東市,52,30.6,21,30.6,299
111.12.06,N04,FG4,苦瓜-翠綠,900,屏東市,40.7,38.4,30,37.2,148
111.12.06,N04,FA1,黃秋葵,930,台東市,80,80,80,80,10
111.12.06,N04,FB1,花椰菜-青梗,930,台東市,49,38,30,39,942
111.12.06,N04,FB1,花椰菜-青梗,950,花蓮市,53,47.1,45,47.9,111
111.12.06,N04,FD1,花胡瓜,950,花蓮市,78,69.5,46.7,66.6,996.5
111.12.06,N04,FG4,苦瓜-翠綠,950,花蓮市,72,68.7,59.5,67.5,118.5
111.12.05,N06,FA884,康乃馨-多朵黃帶紅,105,台北市場,28,28,28,28,30
111.12.05,N06,FA986,美女撫子-白,105,台北市場,90,90,90,90,15
111.12.05,N06,FB106,火鶴花-丘比特,105,台北市場,17,12,6,11.7,1490
111.12.05,,FB113,,105,台北市場,17,12,8,12.3,3388
111.12.05,N06,FB407,火鶴花-夢幻,105,台北市場,14,9,8,9.8,475
111.12.05,N06,FB408,火鶴花-粉佳人,105,台北市場,15,15,14,14.6,95
111.12.05,N06,FB420,火鶴花-小紅莓,105,台北市場,14,14,14,14,120
111.12.05,N06,FB700,火鶴花-花紫,105,台北市場,16,14,9,13.4,331
111.12.05,   ,FC206,大菊-金嗓,105,台北市場,117,109,101,109,160
111.12.05,,FC207,,105,台北市場,129,125,120,124.5,44
111.12.05,N06,FC302,大菊-世界一,105,台北市場,170,159,113,151.9,110
111.12.05,N06,FC410,大菊-羅莎諾粉,105,台北市場,141,139,139,139.7,122
111.12.05,N06,FC800,大菊-  染色大菊,105,台北市場,149,140,130,139.9,799
111.12.05,   ,FC804,染大菊-白天星,105,台北市場,137,124,93,120.3,699
111.12.05,N06,FC805,染大菊-白東洋,105,台北市場,112,112,112,112,50
111.12.05,N06,FD000,小菊-小菊,105,台北市場,122,114,95,111.8,113
111.12.05,N06,FD113,小菊-日本小紅,105,台北市場,112,107,69,100.6,330
111.12.05,N06,FD300,小菊-黃,105,台北市場,117,90,35,84.3,424
111.12.05,N06,FD326,小菊-蒙那麗莎陽光黃,105,台北市場,99,72,70,77.3,360
111.12.05,N06,FD350,小菊-黃風車,105,台北市場,125,114,89,111.2,346
111.12.05,,FD457,,105,台北市場,128,97,74,98.5,1000
111.12.05,N06,FD600,小菊-白,105,台北市場,113,96,60,92.5,535
111.12.05,,FD657,,105,台北市場,138,135,89,126.5,165
111.12.05,N06,FD802,染小菊-白鑽石,105,台北市場,105,87,81,89.6,457
111.12.05,N06,FE001,非洲菊-混合色,105,台北市場,154,62,49,77.4,975
111.12.05,N06,FE100,非洲菊-紅,105,台北市場,81,38,30,44.6,56
111.12.05,   ,FE112,非洲-天籟,105,台北市場,61,49,39,49.5,450
111.12.05,N06,FE400,非洲菊-粉,105,台北市場,85,40,24,45.5,46
111.12.05,N06,FE409,非洲菊-粉紅魅力,105,台北市場,64,48,39,49.5,273
111.12.05,N06,FG120,劍蘭-黑骨紅,105,台北市場,105,96,89,96.7,93
111.12.05,N06,FH156,野薑花-白,105,台北市場,71,57,44,57.3,88
111.12.05,N06,FH158,紅薑花-紅,105,台北市場,170,100,34,100.7,337
111.12.05,N06,FH240,麥桿菊-麥桿菊,105,台北市場,72,63,53,62.5,87
111.12.05,N06,FH311,大理花-紅色,105,台北市場,61,61,57,60.2,75
111.12.05,N06,FH313,大理花-黃色,105,台北市場,83,79,70,77.6,12
111.12.05,N06,FH358,珊瑚鳳梨-珊瑚鳳梨,105,台北市場,17,13,8,12.9,363
111.12.05,N06,FA810,康乃馨-多朵紅,400,台中市場,30,30,30,30,56
111.12.05,N06,FA989,美女撫子-紫紅,400,台中市場,67,67,67,67,15
111.12.05,N06,FB106,火鶴花-丘比特,400,台中市場,17,13,6,12,3046
111.12.05,,FB113,,400,台中市,20,11,6,12,2108
111.12.05,N06,FB407,火鶴花-夢幻,400,台中市場,16,14,8,13,389
111.12.05,N06,FB420,火鶴花-小紅莓,400,台中市場,16,16,16,16,90
111.12.05,N06,FC100,大菊-紅,400,台中市場,79,79,79,79,16
111.12.05,   ,FC206,大菊-金嗓,400,台中市,83,83,83,83,60
111.12.05,,FC208,,400,台中市,108,108,108,108,32
111.12.05,N06,FC302,大菊-世界一,400,台中市場,130,98,96,104,100
111.12.05,N06,FC800,大菊-  染色大菊,400,台中市場,150,106,86,111,366
111.12.05,N06,FC803,染大菊-牡丹,400,台中市場,308,300,298,301,30
111.12.05,   ,FC804,染大菊-白天星,400,台中市,93,89,87,90,175
111.12.05,N06,FD001,小菊-混合色,400,台中市場,41,38,28,37,180
111.12.05,N06,FD200,小菊-金,400,台中市場,90,79,68,79,107
111.12.05,N06,FD326,小菊-蒙那麗莎陽光黃,400,台中市場,40,40,36,39,168
111.12.05,N06,FD404,小菊-花花世界,400,台中市場,16,16,16,16,30
111.12.05,N06,FD423,小菊-粉日記,400,台中市場,44,33,28,34,80
111.12.05,,FD457,,400,台中市,66,64,63,64,81
111.12.05,N06,FD635,小菊-林克小白,400,台中市場,74,74,74,74,30
111.12.05,,FD657,,400,台中市,74,74,74,74,30
111.12.05,   ,FD801,染小菊-芬蘭,400,台中市,59,46,32,46,388
111.12.05,N06,FE001,非洲菊-混合色,400,台中市場,95,72,34,69,790
111.12.05,   ,FE416,非洲-熱情粉,400,台中市,91,49,25,53,122
111.12.05,,FE606,,400,台中市,80,80,80,80,22
111.12.05,N06,FG001,劍蘭-混合色,400,台中市場,77,77,77,77,20
111.12.05,N06,FG105,劍蘭-２３５號,400,台中市場,82,74,53,72,56
111.12.05,N06,FH000,其它花卉-其它花卉,400,台中市場,68,53,44,54,56
111.12.05,N06,FH123,黃金鳥-黃金鳥,400,台中市場,48,27,16,29,47
111.12.05,N06,FH131,鶴焦-鶴焦,400,台中市場,20,7,7,10,153
111.12.05,N06,FH313,大理花-黃色,400,台中市場,136,136,136,136,5
111.12.05,N06,FH661,伯利恆之星-伯利恆之星,400,台中市場,110,77,42,76,55
111.12.05,N05,C1,椪柑,423,東勢鎮,47.9,30.1,18.4,29.83,1728
111.12.05,N06,FA985,美女撫子-綠石竹,514,彰化市場,170,118,81,121,27
111.12.05,   ,FA990,繡球撫子-紫白,514,溪湖鎮,86,86,86,86,13
111.12.05,N06,FB106,火鶴花-丘比特,514,彰化市場,16,10,7,11,979
111.12.05,,FB113,,514,溪湖鎮,14,9,5,9,2434
111.12.05,N06,FB407,火鶴花-夢幻,514,彰化市場,17,12,8,12,992
111.12.05,N06,FB500,火鶴花-翠綠,514,彰化市場,15,15,15,15,33
111.12.05,N06,FB700,火鶴花-花紫,514,彰化市場,18,18,18,18,60
111.12.05,N06,FC000,大菊-大菊,514,彰化市場,109,83,59,83,204
111.12.05,N04,FC1,胡瓜-黑刺,514,溪湖鎮,50,50,50,50,82
111.12.05,N06,FC100,大菊-紅,514,彰化市場,130,130,130,130,16
111.12.05,   ,FC206,大菊-金嗓,514,溪湖鎮,118,81,71,86,285
111.12.05,N06,FC300,大菊-黃,514,彰化市場,104,86,74,87,45
111.12.05,N06,FC302,大菊-世界一,514,彰化市場,109,107,106,107,321
111.12.05,N06,FC400,大菊-粉,514,彰化市場,70,70,70,70,75
111.12.05,N06,FD001,小菊-混合色,514,彰化市場,70,64,21,56,210
111.12.05,N06,FD100,小菊-紅,514,彰化市場,93,93,93,93,72
111.12.05,N06,FD113,小菊-日本小紅,514,彰化市場,106,99,98,100,91
111.12.05,N06,FD128,小菊-老虎紅,514,彰化市場,104,102,91,100,110
111.12.05,N06,FD400,小菊-粉,514,彰化市場,122,63,19,66,250
111.12.05,N06,FD423,小菊-粉日記,514,彰化市場,73,67,56,66,164
111.12.05,N06,FD431,小菊-桃紅雲南菊,514,彰化市場,24,24,24,24,30
111.12.05,   ,FD456,,514,溪湖鎮,65,65,65,65,14
111.12.05,,FD457,,514,溪湖鎮,91,88,86,88,173
111.12.05,N06,FD600,小菊-白,514,彰化市場,128,111,70,106,385
111.12.05,   ,FD801,染小菊-芬蘭,514,溪湖鎮,70,50,42,52,310
111.12.05,N06,FE001,非洲菊-混合色,514,彰化市場,48,39,16,36,1622
111.12.05,   ,FE113,非洲-萊星頓,514,溪湖鎮,38,38,38,38,50
111.12.05,   ,FE302,非洲-金爵,514,溪湖鎮,41,38,33,38,180
111.12.05,   ,FE416,非洲-熱情粉,514,溪湖鎮,48,28,18,30,990
111.12.05,N06,FE700,非洲菊-紫,514,彰化市場,42,33,19,32,120
111.12.05,N04,FG1,苦瓜-白大米,514,溪湖鎮,63.5,41.8,30,43.8,124
111.12.05,N06,FG105,劍蘭-２３５號,514,彰化市場,63,51,33,50,190
111.12.05,N06,FG200,劍蘭-橙,514,彰化市場,21,21,21,21,40
111.12.05,N06,FG412,劍蘭-粉巨人,514,彰化市場,52,35,18,35,362
111.12.05,N06,FH000,其它花卉-其它花卉,514,彰化市場,99,49,21,53,61
111.12.05,N06,FH131,鶴焦-鶴焦,514,彰化市場,8,8,6,8,240
111.12.05,N06,FH293,向日葵-單瓣,514,彰化市場,77,52,17,50,428
111.12.05,N06,FH633,海芋-黃,514,彰化市場,54,34,32,38,74
111.12.05,N06,FH661,伯利恆之星-伯利恆之星,514,彰化市場,41,36,27,35,100
111.12.05,N05,31,釋迦,600,嘉義市,85,52,33,52,2000
111.12.05,N05,72,小番茄-聖女,600,嘉義市,72,48,28,48,2500
111.12.05,N05,812,火龍果-紅肉,600,嘉義市,66,40,20,40,2000
111.12.05,N05,859,榴槤-進口,600,嘉義市,200,160,125,160,300
111.12.05,N05,91,其他,600,嘉義市,66,35,10,35,3000
111.12.05,N05,A1,香蕉,600,嘉義市,24,14,8,14,3000
111.12.05,N05,C1,椪柑,600,嘉義市,55,34,16,34,5000
111.12.05,N05,E1,甜橙-柳橙,600,嘉義市,24,15,10,15,5000
111.12.05,N05,F1,雜柑-檸檬,600,嘉義市,66,42,20,42,300
111.12.05,N06,FA810,康乃馨-多朵紅,700,台南市場,37,30,22,30,56
111.12.05,   ,FA990,繡球撫子-紫白,700,台南市場,120,91,53,89,43
111.12.05,N06,FB100,火鶴花-紅色,700,台南市場,13,8,5,9,1711
111.12.05,,FB113,,700,台南市場,16,10,5,10,1716
111.12.05,N06,FB415,火鶴花-羅莎,700,台南市場,15,11,7,11,846
111.12.05,N06,FB502,火鶴花-綠紅心,700,台南市場,20,15,6,14,207
111.12.05,N06,FB700,火鶴花-花紫,700,台南市場,12,11,10,11,167
111.12.05,N06,FB800,火鶴花-咖啡紅,700,台南市場,11,10,8,10,240
111.12.05,N06,FC000,大菊-大菊,700,台南市場,118,86,57,87,140
111.12.05,N06,FC100,大菊-紅,700,台南市場,94,93,92,93,32
111.12.05,   ,FC206,大菊-金嗓,700,台南市場,107,104,101,104,80
111.12.05,,FC207,,700,台南市場,88,88,88,88,44
111.12.05,,FC208,,700,台南市場,85,83,80,83,52
111.12.05,N06,FC300,大菊-黃,700,台南市場,89,89,89,89,20
111.12.05,N06,FC302,大菊-世界一,700,台南市場,139,138,104,131,213
111.12.05,N06,FC350,大菊-黃乒乓,700,台南市場,94,94,94,94,36
111.12.05,N06,FC800,大菊-  染色大菊,700,台南市場,145,133,115,132,401
111.12.05,N06,FC803,染大菊-牡丹,700,台南市場,400,383,251,361,42
111.12.05,N06,FC805,染大菊-白東洋,700,台南市場,104,104,104,104,22
111.12.05,N06,FD000,小菊-小菊,700,台南市場,125,109,102,111,52
111.12.05,N06,FD001,小菊-混合色,700,台南市場,63,61,47,59,260
111.12.05,N06,FD100,小菊-紅,700,台南市場,82,81,56,76,130
111.12.05,N06,FD113,小菊-日本小紅,700,台南市場,101,82,62,82,385
111.12.05,N06,FD309,小菊-日本黃,700,台南市場,90,62,36,63,345
111.12.05,N06,FD321,小菊-吉祥黃,700,台南市場,35,35,35,35,60
111.12.05,N06,FD326,小菊-蒙那麗莎陽光黃,700,台南市場,79,79,79,79,25
111.12.05,,FD457,,700,台南市場,94,84,73,84,200
111.12.05,N06,FD802,染小菊-白鑽石,700,台南市場,92,75,62,76,246
111.12.05,N06,FE700,非洲菊-紫,700,台南市場,30,26,26,27,100
111.12.05,N06,FG105,劍蘭-２３５號,700,台南市場,98,66,51,69,1063
111.12.05,N06,FG412,劍蘭-粉巨人,700,台南市場,52,43,37,44,265
111.12.05,N06,FH114,小天堂鳥-粉紅,700,台南市場,40,40,40,40,23
111.12.05,N06,FH332,雞冠花-暗紅,700,台南市場,53,46,40,46,49
111.12.05,N06,FH358,珊瑚鳳梨-珊瑚鳳梨,700,台南市場,84,84,84,84,20
111.12.05,N06,FA800,康乃馨-多朵(混色),800,高雄市場,45,28,15,28,312
111.12.05,N06,FA985,美女撫子-綠石竹,800,高雄市場,103,92,84,92,27
111.12.05,   ,FA990,繡球撫子-紫白,800,高雄市,111,88,78,90,28
111.12.05,N06,FB100,火鶴花-紅色,800,高雄市場,21,17,14,17,371
111.12.05,N06,FB105,火鶴花-紅綠邊,800,高雄市場,9,8,7,7,194
111.12.05,N06,FB111,火鶴花-月光,800,高雄市場,18,13,7,12,115
111.12.05,,FB113,,800,高雄市,17,13,7,12,1126
111.12.05,N06,FB407,火鶴花-夢幻,800,高雄市場,18,14,10,13,626
111.12.05,N06,FB500,火鶴花-翠綠,800,高雄市場,20,18,16,18,98
111.12.05,N06,FB502,火鶴花-綠紅心,800,高雄市場,8,7,6,6,63
111.12.05,N06,FC000,大菊-大菊,800,高雄市場,95,77,60,77,87
111.12.05,N06,FC100,大菊-紅,800,高雄市場,99,99,98,98,32
111.12.05,,FC207,,800,高雄市,75,75,75,75,22
111.12.05,N06,FC300,大菊-黃,800,高雄市場,83,75,70,75,45
111.12.05,N06,FC302,大菊-世界一,800,高雄市場,127,114,95,112,405
111.12.05,N06,FC609,大菊-白東洋,800,高雄市場,92,81,63,79,479
111.12.05,N06,FC613,大菊-白天星,800,高雄市場,73,55,16,50,115
111.12.05,N06,FC803,染大菊-牡丹,800,高雄市場,355,355,355,355,16
111.12.05,N06,FD001,小菊-混合色,800,高雄市場,78,77,70,75,128
111.12.05,N06,FD112,小菊-紅雲南菊,800,高雄市場,108,106,105,106,48
111.12.05,N06,FD200,小菊-金,800,高雄市場,134,104,65,102,367
111.12.05,N06,FD431,小菊-桃紅雲南菊,800,高雄市場,91,91,91,91,15
111.12.05,,FD457,,800,高雄市,103,97,93,97,373
111.12.05,N06,FE201,非洲菊-太陽神,800,高雄市場,32,32,32,32,30
111.12.05,   ,FE302,非洲-金爵,800,高雄市,37,36,34,35,60
111.12.05,   ,FE605,非洲-冰山,800,高雄市,58,58,58,58,60
111.12.05,,FE606,,800,高雄市,66,66,66,66,24
111.12.05,N06,FG412,劍蘭-粉巨人,800,高雄市場,51,50,43,48,175
111.12.05,N06,FH000,其它花卉-其它花卉,800,高雄市場,10,10,10,10,98
111.12.05,N06,FH006,黃梔花-黃梔花,800,高雄市場,45,25,15,27,936
111.12.05,N06,FH156,野薑花-白,800,高雄市場,69,55,39,54,62
111.12.05,N06,FH332,雞冠花-暗紅,800,高雄市場,53,53,53,53,23
111.12.05,N04,FB1,花椰菜-青梗,950,花蓮市,46,44.7,29.1,41.9,122
111.12.05,N04,FD1,花胡瓜,950,花蓮市,69.7,66.5,43.5,62.5,1478.5
111.12.05,N04,FG2,苦瓜-青大米,950,花蓮市,53,53,53,53,77.5
111.12.05,N04,FG4,苦瓜-翠綠,950,花蓮市,80,80,70,78,74.5
111.12.04,N05,22,棗子,104,台北二,136.8,59.5,40.9,71.2,656
111.12.04,N05,469,藍莓-進口藍莓,104,台北二,133.3,133.3,133.3,133.3,680
111.12.04,N05,51,百香果-改良種,104,台北二,76.1,35.7,24.1,41.5,8957
111.12.04,N05,811,火龍果-白肉,104,台北二,99.2,49.5,35.5,56.6,2645
111.12.04,N05,A0,香蕉-其他,104,台北二,8,6.9,6,7,40
111.12.04,N05,A4,香蕉-越旦,104,台北二,26.6,18.5,14.5,19.3,331
111.12.04,N05,B2,鳳梨-金鑽鳳梨,104,台北二,25.8,18.3,9.8,18.1,4711
111.12.04,N05,C6,佛利檬-佛利檬,104,台北二,58.4,48.9,31.2,47.2,1686
111.12.04,,C8,,104,台北二,103.6,66.6,40.6,68.8,451
111.12.04,N05,C9,椪柑-進口,104,台北二,326.7,225.5,213.3,243.3,60
111.12.04,N05,E0,甜橙-其他,104,台北二,59.2,53.9,50,54.2,90
111.12.04,N05,E9,甜橙-進口,104,台北二,15,15,15,15,100
111.12.04,N05,F4,雜柑-桔子,104,台北二,50,38.5,20,37.1,159
111.12.04,N05,F5,雜柑-無子檸檬,104,台北二,109.9,47.3,26.9,55.8,1193
111.12.04,N04,FA0,其他花類,104,台北二,100,100,100,100,5
111.12.04,N04,FB0,花椰菜-其他,104,台北二,55,55,55,55,20
111.12.04,N04,FD0,花胡瓜-其他,104,台北二,125,92.7,25,85.6,96
111.12.04,N04,FG0,苦瓜-其他,104,台北二,46.4,40.1,34,40.2,1145
111.12.04,N04,FG1,苦瓜-白大米,104,台北二,57.6,43.5,29.6,43.6,4465
111.12.04,N04,FG3,苦瓜-山苦瓜,104,台北二,25,25,25,25,20
111.12.04,N05,22,棗子,109,台北一,165.7,77.5,31.5,85.9,1318
111.12.04,N05,51,百香果-改良種,109,台北一,77.6,38.2,22.6,43,8522
111.12.04,N05,70,小番茄-其他,109,台北一,89,51.3,28.4,54.3,1592
111.12.04,N05,74,小番茄-玉女,109,台北一,251.5,143,53.7,146.8,5240
111.12.04,N05,839,櫻桃-進口,109,台北一,333.3,333.3,246,315.9,725
111.12.04,N05,91,其他,109,台北一,133.2,76,48.4,81.9,897
111.12.04,N05,A3,香蕉-旦蕉,109,台北一,60.8,41.9,15,40.3,202
111.12.04,N05,A4,香蕉-越旦,109,台北一,19.6,15.8,12.6,15.9,764
111.12.04,N05,B2,鳳梨-金鑽鳳梨,109,台北一,25.5,19.2,13.2,19.2,5971
111.12.04,N05,C1,椪柑,109,台北一,52.3,32,16.5,32.9,56883
111.12.04,,C8,,109,台北一,149.5,79,41.5,85.6,2245
111.12.04,N05,E0,甜橙-其他,109,台北一,30,30,15.4,27.1,110
111.12.04,N05,F2,雜柑-金棗,109,台北一,50,47.3,45,47.4,95
111.12.04,N05,F9,雜柑-進口,109,台北一,166.7,166.7,166.7,166.7,28
111.12.04,N04,FA0,其他花類,109,台北一,90,90,90,90,30
111.12.04,N04,FB0,花椰菜-其他,109,台北一,85,56.7,45,60,32
111.12.04,N04,FB11,花椰菜-青梗,109,台北一,73.8,48.8,27.2,49.5,14475
111.12.04,N04,FC1,胡瓜-黑刺,109,台北一,45.2,32.2,23.1,33,10806
111.12.04,N04,FD0,花胡瓜-其他,109,台北一,113.9,87.3,50.4,85.2,327
111.12.04,N05,129,椰子-進口剝殼,220,板橋區,25,25,25,25,63
111.12.04,N05,22,棗子,220,板橋區,60,60,60,60,168
111.12.04,N05,51,百香果-改良種,220,板橋區,41.5,31.3,23.8,31.9,1652
111.12.04,N05,74,小番茄-玉女,220,板橋區,101.2,93.9,86.3,93.9,1266
111.12.04,N05,839,櫻桃-進口,220,板橋區,600,600,600,600,100
111.12.04,N05,91,其他,220,板橋區,100,73.7,50,74.2,46.5
111.12.04,N05,A0,香蕉-其他,220,板橋區,10,8.6,7,8.5,271
111.12.04,N05,A4,香蕉-越旦,220,板橋區,25,21.4,13.7,20.6,155
111.12.04,N05,B2,鳳梨-金鑽鳳梨,220,板橋區,17,13.5,10.6,13.6,1165
111.12.04,N05,C1,椪柑,220,板橋區,37,24.2,18.8,25.6,19789
111.12.04,,C8,,220,板橋區,50,46.3,35,44.8,45
111.12.04,N04,FB0,花椰菜-其他,220,板橋區,50,50,50,50,14
111.12.04,N04,FB1,花椰菜-青梗,220,板橋區,46.2,33.7,22.2,33.9,4942
111.12.04,N04,FC1,胡瓜-黑刺,220,板橋區,44.5,32.1,21.9,32.5,1396
111.12.04,N04,FE1,冬瓜-白皮,220,板橋區,11.5,8.8,6,8.8,278
111.12.04,N05,129,椰子-進口剝殼,241,三重區,61.5,50,41.2,50.5,478
111.12.04,N05,31,釋迦,241,三重區,63.1,49.3,47.2,51.6,3761.5
111.12.04,N05,32,釋迦-鳳梨釋迦,241,三重區,26.8,22,22,23,4132
111.12.04,N05,45,草莓,241,三重區,100.6,100,70.4,94.2,1273.5
111.12.04,N05,51,百香果-改良種,241,三重區,59.6,31.1,17.4,34,9403
111.12.04,N05,70,小番茄-其他,241,三重區,50.8,22.2,19.1,27.3,557
111.12.04,N05,74,小番茄-玉女,241,三重區,118.1,107.7,58,99.8,8375
111.12.04,N05,812,火龍果-紅肉,241,三重區,67.2,53.3,39.7,53.4,6502
111.12.04,N05,839,櫻桃-進口,241,三重區,637,500,342.4,495.9,1380
111.12.04,N05,A0,香蕉-其他,241,三重區,10,10,10,10,144
111.12.04,N05,A4,香蕉-越旦,241,三重區,30.7,17.8,12.4,19.3,547
111.12.04,N05,C1,椪柑,241,三重區,37.2,24,21.7,26.2,67592
111.12.04,,C8,,241,三重區,123.6,61.2,24.1,66.3,770
111.12.04,N05,E0,甜橙-其他,241,三重區,15,15,15,15,140
111.12.04,N05,F2,雜柑-金棗,241,三重區,44.9,31,31,33.8,329
111.12.04,N05,F9,雜柑-進口,241,三重區,513.5,513.5,513.5,513.5,44.4
111.12.04,N04,FB1,花椰菜-青梗,241,三重區,41.9,34.7,15.4,32.2,4581
111.12.04,N04,FC1,胡瓜-黑刺,241,三重區,28.2,19.3,11.1,19.4,2757
111.12.04,N04,FF0,絲瓜-其他,241,三重區,35,35,35,35,36
111.12.04,N04,FG4,苦瓜-翠綠,241,三重區,64.7,28.5,22.7,34.6,116
111.12.04,N05,31,釋迦,260,宜蘭市,90,65,30,65,1600
111.12.04,N05,51,百香果-改良種,260,宜蘭市,85,50,20,50,1500
111.12.04,N05,72,小番茄-聖女,260,宜蘭市,95,60,30,60,1500
111.12.04,N05,F1,雜柑-檸檬,260,宜蘭市,90,55,15,55,1200
111.12.04,N05,129,椰子-進口剝殼,338,桃農,35,35,35,35,315
111.12.04,N05,72,小番茄-聖女,338,桃農,25,22.1,20,22.3,220
111.12.04,N05,811,火龍果-白肉,338,桃農,25,20.5,16,20.5,12
111.12.04,N05,812,火龍果-紅肉,338,桃農,46.3,37.5,26,36.9,90
111.12.04,N05,A2,香蕉-芭蕉紅芭蕉,338,桃農,30,30,30,30,8
111.12.04,N05,A4,香蕉-越旦,338,桃農,20,20,20,20,11
111.12.04,N05,E0,甜橙-其他,338,桃農,21,16.3,15,17,108
111.12.04,N04,FB0,花椰菜-其他,338,桃農,62,62,62,62,28
111.12.04,N04,FD1,花胡瓜,338,桃農,68.7,62.9,39.3,59.3,1640
111.12.04,N04,FF0,絲瓜-其他,338,桃農,20,19,18,19,72
111.12.04,N04,FF1,絲瓜-絲瓜,338,桃農,47.1,34,25,34.8,755
111.12.04,N04,FH4,扁蒲-梨子蒲,338,桃農,30.5,22.9,13.6,22.6,593
111.12.04,N05,129,椰子-進口剝殼,400,台中市,39.5,35,32.5,33.5,630
111.12.04,N05,32,釋迦-鳳梨釋迦,400,台中市,71.3,55.2,38,50.7,2214
111.12.04,N05,70,小番茄-其他,400,台中市,74.1,59.2,36.1,52.8,2026
111.12.04,N05,849,石榴-進口,400,台中市,125,125,125,125,20
111.12.04,N05,A1,香蕉,400,台中市,20,13.1,7,18.4,33742
111.12.04,N05,A3,香蕉-旦蕉,400,台中市,40,40,40,40,30
111.12.04,N05,C1,椪柑,400,台中市,45.8,32.1,17.7,33.9,70482
111.12.04,N05,E0,甜橙-其他,400,台中市,30,30,30,30,156
111.12.04,N05,E1,甜橙-柳橙,400,台中市,25,20.6,14.3,20,13314
111.12.04,N05,F1,雜柑-檸檬,400,台中市,60,44.6,14.3,50.5,1063
111.12.04,N05,F2,雜柑-金棗,400,台中市,50,46.7,30,45.1,313
111.12.04,N05,F5,雜柑-無子檸檬,400,台中市,49.2,31.7,22.7,33.3,666
111.12.04,N05,F9,雜柑-進口,400,台中市,125,125,125,125,8
111.12.04,N04,FA1,黃秋葵,400,台中市,72.2,45.9,20.5,45.6,256
111.12.04,N06,FA985,美女撫子-綠石竹,400,台中市場,93,93,93,93,12
111.12.04,   ,FA990,繡球撫子-紫白,400,台中市,38,38,38,38,15
111.12.04,N04,FB0,花椰菜-其他,400,台中市,57,50.5,25,49.9,90
111.12.04,N04,FB1,花椰菜-青梗,400,台中市,40,21.7,7.4,24.9,2779
111.12.04,N06,FB106,火鶴花-丘比特,400,台中市場,15,8,5,9,3425
111.12.04,,FB113,,400,台中市,16,11,7,11,1353
111.12.04,N06,FB420,火鶴花-小紅莓,400,台中市場,11,9,7,9,89
111.12.04,N06,FC100,大菊-紅,400,台中市場,81,81,81,81,18
111.12.04,   ,FC206,大菊-金嗓,400,台中市,82,82,82,82,40
111.12.04,,FC207,,400,台中市,106,104,102,104,44
111.12.04,,FC208,,400,台中市,98,98,98,98,16
111.12.04,N06,FC300,大菊-黃,400,台中市場,52,52,52,52,21
111.12.04,N06,FC800,大菊-  染色大菊,400,台中市場,137,111,95,113,416
111.12.04,N06,FC803,染大菊-牡丹,400,台中市場,289,289,289,289,20
111.12.04,   ,FC804,染大菊-白天星,400,台中市,97,97,97,97,60
111.12.04,N06,FD001,小菊-混合色,400,台中市場,49,44,19,40,256
111.12.04,N04,FD1,花胡瓜,400,台中市,72.8,50.4,34.5,53.8,3015
111.12.04,N06,FD200,小菊-金,400,台中市場,51,51,51,51,140
111.12.04,N06,FD300,小菊-黃,400,台中市場,35,35,35,35,30
111.12.04,N06,FD326,小菊-蒙那麗莎陽光黃,400,台中市場,32,32,32,32,140
111.12.04,N06,FD404,小菊-花花世界,400,台中市場,22,22,22,22,30
111.12.04,N06,FD423,小菊-粉日記,400,台中市場,42,36,33,36,99
111.12.04,,FD457,,400,台中市,58,50,49,51,169
111.12.04,N06,FD635,小菊-林克小白,400,台中市場,62,62,62,62,20
111.12.04,,FD657,,400,台中市,49,49,49,49,90
111.12.04,   ,FD801,染小菊-芬蘭,400,台中市,66,64,56,63,265
111.12.04,N04,FE1,冬瓜-白皮,400,台中市,12,8.8,5.3,8.9,620
111.12.04,   ,FE416,非洲-熱情粉,400,台中市,48,27,15,29,84
111.12.04,,FE606,,400,台中市,85,85,85,85,28
111.12.04,N06,FG001,劍蘭-混合色,400,台中市場,47,47,47,47,20
111.12.04,N06,FH000,其它花卉-其它花卉,400,台中市場,100,65,58,70,52
111.12.04,N04,FH1,扁蒲-長形,400,台中市,16,15.5,15,15.8,60
